,Palavras frequentes,Frequência
0,"('ainda', 'recebi', 'produto')",252
1,"('nao', 'recebi', 'produto')",143
2,"('quero', 'dinheiro', 'volta')",77
3,"('recebi', 'produto', 'ainda')",69
4,"('recebi', 'apenas', '1')",64
5,"('produto', 'ainda', 'entregue')",63
6,"('ainda', 'nao', 'recebi')",62
7,"('comprei', 'dois', 'produtos')",60
8,"('produto', 'ainda', 'chegou')",59
9,"('produto', 'veio', 'defeito')",58
